"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2978","All Header Validation Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","4112","get Cart row data Test","chromium","2026-07-01","passed","2026-07-01","","shoppingcart.spec.ts","",""
"","693","validate All Users schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","0","Patch - Validate Partial Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","3122","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","837","get Location","chromium","2026-07-01","passed","2026-07-01","","api/amaedeus.oauth2.spec.ts","",""
"","2798","Login Application Test DD - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","4463","Verify user is able to land on product page - MacBook","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2923","Login Application Test DD with JSON - sandeepdahiya@yahoo.com :","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","3600","Verify Search Result Count Test","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","forgot pwd link exist Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","5082","Product Info Validation Test - MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","3446","Perform Search Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","708","@sanity POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","0","All Header Validation Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","3063","Login Application Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1","Put - Validate Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","421","POST API - Create a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","1167","@sanity PUT - Update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","1893","validate user schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","2682","Login Application Test DD with JSON - : Seleniumm@12345","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1122","DELETE - Delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","387","@smoke Delete API - Delete a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","5249","Perform Add to cart Test - macbook : MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","371","GET API - get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.sep.spec.ts","",""
"","0","Login Application Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","2264","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","390","@smoke PUT API - Update a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","0","Delete - Validate Delete Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2","Post - Validate Create Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2682","Login Application Test DD with JSON - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2183","forgot pwd link exist Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
