"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","POST API - Create a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","0","All Header Validation Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","3938","get Cart row data Test","chromium","2026-07-01","passed","2026-07-01","","shoppingcart.spec.ts","",""
"","1","Patch - Validate Partial Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2266","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","941","get Location","chromium","2026-07-01","passed","2026-07-01","","api/amaedeus.oauth2.spec.ts","",""
"","2122","forgot pwd link exist Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","Login Application Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","351","GET API - get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.sep.spec.ts","",""
"","3348","Perform Search Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","2896","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","4885","Product Info Validation Test - MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","386","@smoke Delete API - Delete a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","2599","Login Application Test DD - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2707","Login Application Test DD with JSON - sandeepdahiya@yahoo.com :","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","1","Put - Validate Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","5600","Perform Add to cart Test - macbook : MacBook","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2714","Login Application Test DD with JSON - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","342","@smoke PUT API - Update a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","3062","Login Application Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","3","Post - Validate Create Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","3053","All Header Validation Test","chromium","2026-07-01","passed","2026-07-01","","homepagefix.spec.ts","",""
"","738","validate All Users schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","0","Delete - Validate Delete Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2780","Login Application Test DD with JSON - : Seleniumm@12345","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","4353","Verify user is able to land on product page - MacBook","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","653","@sanity POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","1076","validate user schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","1051","DELETE - Delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","0","forgot pwd link exist Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","1189","@sanity PUT - Update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","3323","Verify Search Result Count Test","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
