"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","forgot pwd link exist Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","2048","get Cart row data Test","chromium","2026-07-01","failed","2026-07-01","","shoppingcart.spec.ts","",""
"","2022","validate Title Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2064","Perform Search Test","chromium","2026-07-01","failed","2026-07-01","","homepagefix.spec.ts","",""
"","756","validate All Users schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","2731","Login Application Test DD with JSON - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","Delete - Validate Delete Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","1872","validate user schema","chromium","2026-07-01","passed","2026-07-01","","api/user.api.schema.spec.ts","",""
"","0","Patch - Validate Partial Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","730","@sanity POST - create a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","2687","Login Application Test DD with JSON - : Seleniumm@12345","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2307","Login Application Test","chromium","2026-07-01","failed","2026-07-01","","loginpagefix.spec.ts","",""
"","2522","Login Application Test DD - invalidemail@open.com : invalidpwd","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","2212","Perform Add to cart Test - macbook : MacBook","chromium","2026-07-01","failed","2026-07-01","","productpage.spec.ts","",""
"","459","POST API - Create a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","1","Put - Validate Update Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","2312","validate Title Test","chromium","2026-07-01","failed","2026-07-01","","homepagefix.spec.ts","",""
"","330","GET API - get all users","chromium","2026-07-01","passed","2026-07-01","","api/users.api.sep.spec.ts","",""
"","2281","Product Info Validation Test - MacBook","chromium","2026-07-01","failed","2026-07-01","","productpage.spec.ts","",""
"","445","@smoke PUT API - Update a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
"","0","Login Application Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","2246","All Header Validation Test","chromium","2026-07-01","failed","2026-07-01","","homepagefix.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","loginpage.spec.ts","",""
"","973","DELETE - Delete a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","2762","Login Application Test DD with JSON - sandeepdahiya@yahoo.com :","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","All Header Validation Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","625","get Location","chromium","2026-07-01","passed","2026-07-01","","api/amaedeus.oauth2.spec.ts","",""
"","2","Post - Validate Create Booking","chromium","2026-07-01","skipped","2026-07-01","","api/booker.spec.ts","",""
"","1253","@sanity PUT - Update a user","chromium","2026-07-01","passed","2026-07-01","","api/users.api.indi.spec.ts","",""
"","2029","Verify user is able to land on product page - MacBook","chromium","2026-07-01","failed","2026-07-01","","search.spec.ts","",""
"","2038","Verify Search Result Count Test","chromium","2026-07-01","failed","2026-07-01","","search.spec.ts","",""
"","2231","forgot pwd link exist Test","chromium","2026-07-01","passed","2026-07-01","","loginpagefix.spec.ts","",""
"","0","validate Title Test","chromium","2026-07-01","skipped","2026-07-01","","homepage.spec.ts","",""
"","397","@smoke Delete API - Delete a User","chromium","2026-07-01","passed","2026-07-01","@smoke running E2E crud","api/users.api.sep.spec.ts","",""
